model_id,task_id,item_id,shot,gpt_total,kimi_total,dual_total,primary_configuration,gpt_family_value,gpt_context_fit,gpt_coherence,gpt_clarity,kimi_family_value,kimi_context_fit,kimi_coherence,kimi_clarity,gpt_plot_logic,gpt_characterization,gpt_emotion,kimi_plot_logic,kimi_characterization,kimi_emotion,gpt_content_fidelity,gpt_style_fit,gpt_value_expression,kimi_content_fidelity,kimi_style_fit,kimi_value_expression
Qwen3-8B-Thinking,story_generation,GEN-047,0,89.1,75.0,82.05,False,90,,,,75.0,,,,88,88,90,72.0,78.0,76.0,,,,,,
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-043,0,44.25,65.55,54.9,True,55,55,50,10,72.0,68.0,65.0,55.0,,,,,,,,,,,,
Qwen2.5-7B-Instruct,story_generation,GEN-080,0,75.8,69.15,72.475,True,78,,,,72.0,,,,72,76,76,65.0,68.0,70.0,,,,,,
Qwen3-8B-NonThinking,rewriting,REW-098,0,82.6,75.0,78.8,True,,,,88,,,,75.0,,,,,,,88,78,84,85.0,70.0,80.0
Mistral-7B-Instruct-v0.3,rewriting,REW-017,0,54.5,57.9,56.2,True,,,,60,,,,65.0,,,,,,,45,55,60,52.0,58.0,55.0
deepseek-llm-7b-chat,story_generation,GEN-051,0,73.0,51.0,62.0,True,78,,,,55.0,,,,68,70,72,50.0,45.0,50.0,,,,,,
Qwen3-8B-Thinking,continuation,CON-039,0,19.25,37.75,28.5,False,20,35,20,5,45.0,40.0,35.0,30.0,,,,,,,,,,,,
deepseek-llm-7b-chat,rewriting,REW-049,0,71.3,54.3,62.8,True,,,,70,,,,72.0,,,,,,,60,75,78,52.0,48.0,55.0
glm-4-9b-chat,rewriting,REW-100,0,62.0,63.0,62.5,True,,,,78,,,,70.0,,,,,,,82,45,75,75.0,55.0,65.0
Qwen2.5-7B-Instruct,story_generation,GEN-014,0,61.8,69.3,65.55,True,65,,,,72.0,,,,58,60,62,68.0,65.0,70.0,,,,,,
internlm2_5-7b-chat,story_generation,GEN-093,0,78.2,58.7,68.45,True,82,,,,58.0,,,,76,78,72,62.0,55.0,60.0,,,,,,
internlm2_5-7b-chat,story_generation,GEN-088,0,79.3,67.8,73.55,True,80,,,,72.0,,,,80,78,78,68.0,65.0,60.0,,,,,,
chatglm3-6b,rewriting,REW-082,0,48.5,54.5,51.5,True,,,,65,,,,55.0,,,,,,,60,35,60,75.0,45.0,60.0
deepseek-llm-7b-chat,rewriting,REW-032,0,52.5,54.5,53.5,True,,,,75,,,,70.0,,,,,,,85,25,80,85.0,35.0,60.0
internlm2_5-7b-chat,rewriting,REW-074,0,65.9,48.5,57.2,True,,,,82,,,,60.0,,,,,,,92,45,86,85.0,25.0,70.0
Qwen3-8B-NonThinking,rewriting,REW-075,0,82.4,73.2,77.80000000000001,True,,,,84,,,,80.0,,,,,,,86,80,84,75.0,70.0,72.0
Doubao,story_generation,GEN-029,0,86.8,79.55,83.175,True,88,,,,82.0,,,,86,86,86,78.0,80.0,75.0,,,,,,
QwQ-32B,story_generation,GEN-083,0,92.8,84.55,88.675,True,94,,,,88.0,,,,92,92,92,85.0,82.0,78.0,,,,,,
Qwen2.5-7B-Instruct,rewriting,REW-037,0,74.0,67.5,70.75,True,,,,78,,,,75.0,,,,,,,75,72,74,55.0,70.0,65.0
Baichuan2-7B-Chat,continuation,CON-016,0,21.25,12.0,16.625,True,25,50,15,5,15.0,20.0,10.0,5.0,,,,,,,,,,,,
glm-4-9b-chat,continuation,CON-091,0,63.85,57.5,60.675,True,65,75,50,78,55.0,70.0,50.0,65.0,,,,,,,,,,,,
Doubao,rewriting,REW-061,0,80.2,69.5,74.85,True,,,,84,,,,78.0,,,,,,,82,78,80,72.0,65.0,70.0
Doubao,rewriting,REW-011,0,74.1,73.5,73.8,True,,,,80,,,,80.0,,,,,,,78,69,80,65.0,75.0,70.0
glm-4-9b-chat,story_generation,GEN-043,0,52.05,51.0,51.525,True,55,,,,55.0,,,,45,55,52,50.0,45.0,50.0,,,,,,
QwQ-32B,continuation,CON-050,0,84.5,86.45,85.475,True,86,78,84,88,88.0,82.0,85.0,90.0,,,,,,,,,,,,
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-094,0,77.5,62.0,69.75,True,80,88,78,65,65.0,70.0,60.0,55.0,,,,,,,,,,,,
Qwen3-8B-Thinking,story_generation,GEN-003,0,73.95,70.25,72.1,False,75,,,,72.0,,,,65,80,78,65.0,75.0,68.0,,,,,,
Qwen2.5-7B-Instruct,story_generation,GEN-087,0,66.5,59.3,62.9,True,70,,,,62.0,,,,66,62,64,58.0,55.0,60.0,,,,,,
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-074,0,52.25,75.35,63.8,True,65,65,60,10,78.0,65.0,72.0,85.0,,,,,,,,,,,,
Mistral-7B-Instruct-v0.3,rewriting,REW-003,0,75.0,59.9,67.45,True,,,,78,,,,65.0,,,,,,,82,70,80,62.0,58.0,55.0
Qwen3-8B-Thinking,continuation,CON-006,0,39.25,44.25,41.75,False,55,40,45,5,55.0,45.0,40.0,35.0,,,,,,,,,,,,
deepseek-llm-7b-chat,rewriting,REW-042,0,65.5,60.5,63.0,True,,,,82,,,,70.0,,,,,,,90,45,86,65.0,55.0,60.0
glm-4-9b-chat,story_generation,GEN-081,0,74.2,49.5,61.85,True,80,,,,55.0,,,,72,70,68,50.0,45.0,40.0,,,,,,
Qwen3-8B-Thinking,story_generation,GEN-001,0,71.5,74.85,73.175,False,75,,,,78.0,,,,65,70,75,75.0,72.0,70.0,,,,,,
deepseek-llm-7b-chat,continuation,CON-064,0,37.5,40.75,39.125,True,45,55,45,0,45.0,55.0,40.0,25.0,,,,,,,,,,,,
glm-4-9b-chat,story_generation,GEN-067,0,77.5,56.5,67.0,True,84,,,,65.0,,,,76,72,70,55.0,50.0,45.0,,,,,,
chatglm3-6b,continuation,CON-079,0,55.45,49.75,52.6,True,65,75,62,15,55.0,70.0,45.0,35.0,,,,,,,,,,,,
Qwen3-8B-Thinking,rewriting,REW-065,0,80.6,63.5,72.05,False,,,,82,,,,70.0,,,,,,,84,78,84,55.0,65.0,60.0
Qwen3-8B-Thinking,continuation,CON-087,0,45.75,71.1,58.425,False,55,70,45,15,75.0,82.0,78.0,45.0,,,,,,,,,,,,
deepseek-llm-7b-chat,rewriting,REW-065,0,72.1,50.5,61.3,True,,,,78,,,,60.0,,,,,,,80,65,80,55.0,45.0,50.0
Mistral-7B-Instruct-v0.3,rewriting,REW-018,0,57.0,41.5,49.25,True,,,,65,,,,55.0,,,,,,,40,60,60,45.0,35.0,40.0
Qwen3-8B-Thinking,rewriting,REW-044,0,83.8,79.5,81.65,False,,,,86,,,,70.0,,,,,,,90,80,86,75.0,85.0,80.0
glm-4-9b-chat,story_generation,GEN-079,0,69.55,49.5,59.525,True,76,,,,55.0,,,,65,68,62,50.0,45.0,40.0,,,,,,
Baichuan2-7B-Chat,continuation,CON-045,0,30.75,26.75,28.75,True,35,50,25,20,35.0,30.0,25.0,15.0,,,,,,,,,,,,
Baichuan2-7B-Chat,continuation,CON-048,0,50.5,40.75,45.625,True,65,60,60,5,45.0,55.0,40.0,25.0,,,,,,,,,,,,
deepseek-llm-7b-chat,rewriting,REW-051,0,55.3,62.5,58.9,True,,,,65,,,,70.0,,,,,,,70,45,58,75.0,55.0,60.0
Qwen3-8B-NonThinking,rewriting,REW-071,0,79.1,65.2,72.15,True,,,,82,,,,75.0,,,,,,,85,75,82,72.0,58.0,68.0
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-021,0,75.15,69.3,72.225,True,78,,,,72.0,,,,75,72,72,68.0,65.0,70.0,,,,,,
glm-4-9b-chat,story_generation,GEN-072,0,72.0,60.25,66.125,True,75,,,,65.0,,,,70,70,70,60.0,55.0,55.0,,,,,,
internlm2_5-7b-chat,rewriting,REW-085,0,83.0,63.0,73.0,True,,,,86,,,,70.0,,,,,,,86,80,86,75.0,55.0,65.0
deepseek-llm-7b-chat,story_generation,GEN-100,0,64.0,48.1,56.05,True,60,,,,52.0,,,,65,70,65,48.0,45.0,42.0,,,,,,
Doubao,story_generation,GEN-051,0,67.0,87.5,77.25,True,65,,,,88.0,,,,60,70,80,85.0,90.0,87.0,,,,,,
Qwen2.5-7B-Instruct,continuation,CON-070,0,39.75,50.75,45.25,True,42,52,45,18,55.0,70.0,45.0,40.0,,,,,,,,,,,,
glm-4-9b-chat,story_generation,GEN-082,0,73.9,49.5,61.7,True,76,,,,55.0,,,,70,76,72,50.0,45.0,40.0,,,,,,
Doubao,rewriting,REW-082,0,83.4,73.8,78.6,True,,,,86,,,,80.0,,,,,,,88,80,86,75.0,70.0,78.0
Qwen3-8B-NonThinking,story_generation,GEN-055,0,75.9,72.85,74.375,True,78,,,,75.0,,,,70,76,80,70.0,72.0,73.0,,,,,,
deepseek-llm-7b-chat,rewriting,REW-064,0,61.9,41.0,51.45,True,,,,75,,,,40.0,,,,,,,82,45,80,55.0,35.0,45.0
Mistral-7B-Instruct-v0.3,rewriting,REW-077,0,39.7,50.4,45.05,True,,,,42,,,,55.0,,,,,,,45,35,48,52.0,48.0,50.0
deepseek-llm-7b-chat,continuation,CON-065,0,60.95,52.0,56.475,True,75,78,65,20,55.0,60.0,50.0,45.0,,,,,,,,,,,,
Baichuan2-7B-Chat,rewriting,REW-069,0,77.9,69.5,73.7,True,,,,80,,,,78.0,,,,,,,82,75,80,72.0,65.0,70.0
QwQ-32B,story_generation,GEN-027,0,70.4,85.6,78.0,True,55,,,,88.0,,,,78,80,86,82.0,85.0,86.0,,,,,,
Qwen2.5-7B-Instruct,story_generation,GEN-020,0,55.85,49.5,52.675,True,64,,,,55.0,,,,55,45,50,50.0,45.0,40.0,,,,,,
Qwen2.5-7B-Instruct,story_generation,GEN-056,0,65.2,54.7,59.95,True,72,,,,58.0,,,,62,58,62,52.0,55.0,50.0,,,,,,
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-016,0,85.5,85.75,85.625,True,88,,,,88.0,,,,84,82,86,85.0,82.0,86.0,,,,,,
Qwen3-8B-Thinking,continuation,CON-052,0,41.0,71.75,56.375,False,45,70,40,15,75.0,85.0,70.0,60.0,,,,,,,,,,,,
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-059,0,81.4,53.5,67.45,True,,,,84,,,,70.0,,,,,,,82,80,82,55.0,45.0,60.0
chatglm3-6b,continuation,CON-077,0,55.25,48.0,51.625,True,70,70,65,5,55.0,65.0,45.0,30.0,,,,,,,,,,,,
internlm2_5-7b-chat,story_generation,GEN-076,0,83.7,54.85,69.275,True,86,,,,58.0,,,,82,84,80,55.0,52.0,50.0,,,,,,
QwQ-32B,rewriting,REW-098,0,84.6,85.4,85.0,True,,,,86,,,,82.0,,,,,,,88,82,88,85.0,88.0,80.0
Qwen3-8B-NonThinking,rewriting,REW-070,0,73.2,62.5,67.85,True,,,,86,,,,75.0,,,,,,,88,60,84,85.0,45.0,80.0
internlm2_5-7b-chat,rewriting,REW-036,0,78.8,49.5,64.15,True,,,,76,,,,60.0,,,,,,,82,78,82,55.0,45.0,40.0
glm-4-9b-chat,story_generation,GEN-078,0,60.0,49.5,54.75,True,65,,,,55.0,,,,55,60,55,50.0,45.0,40.0,,,,,,
deepseek-llm-7b-chat,story_generation,GEN-010,0,75.45,49.5,62.475,True,80,,,,55.0,,,,74,76,65,50.0,45.0,40.0,,,,,,
internlm2_5-7b-chat,story_generation,GEN-020,0,57.65,51.0,54.325,True,58,,,,55.0,,,,55,60,58,50.0,45.0,50.0,,,,,,
chatglm3-6b,story_generation,GEN-095,0,42.5,40.0,41.25,True,40,,,,45.0,,,,40,45,50,35.0,40.0,35.0,,,,,,
glm-4-9b-chat,continuation,CON-085,0,49.5,58.0,53.75,True,45,70,50,40,55.0,60.0,50.0,75.0,,,,,,,,,,,,
Qwen2.5-7B-Instruct,rewriting,REW-074,0,84.4,78.7,81.55000000000001,True,,,,86,,,,80.0,,,,,,,88,82,86,85.0,75.0,82.0
QwQ-32B,story_generation,GEN-048,0,74.55,87.35,80.94999999999999,True,82,,,,88.0,,,,75,70,60,85.0,90.0,86.0,,,,,,
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-017,0,81.4,76.85,79.125,True,86,84,84,68,78.0,75.0,72.0,85.0,,,,,,,,,,,,
internlm2_5-7b-chat,story_generation,GEN-070,0,84.6,67.65,76.125,True,88,,,,72.0,,,,84,82,80,65.0,68.0,60.0,,,,,,
Doubao,story_generation,GEN-027,0,79.6,84.1,81.85,True,80,,,,85.0,,,,76,80,84,82.0,88.0,80.0,,,,,,
Doubao,continuation,CON-064,0,87.3,86.15,86.725,True,88,88,86,88,82.0,85.0,88.0,90.0,,,,,,,,,,,,
Qwen3-8B-NonThinking,story_generation,GEN-037,0,52.8,49.5,51.15,True,58,,,,55.0,,,,50,48,50,50.0,45.0,40.0,,,,,,
deepseek-llm-7b-chat,rewriting,REW-075,0,73.8,52.0,62.9,True,,,,86,,,,70.0,,,,,,,88,62,80,75.0,35.0,55.0
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-024,0,81.5,84.7,83.1,True,82,,,,88.0,,,,80,82,82,82.0,85.0,80.0,,,,,,
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-011,0,79.8,52.5,66.15,True,,,,82,,,,70.0,,,,,,,82,78,80,55.0,45.0,50.0
Qwen2.5-7B-Instruct,story_generation,GEN-003,0,84.85,68.1,76.475,True,88,,,,72.0,,,,85,82,80,68.0,65.0,62.0,,,,,,
internlm2_5-7b-chat,continuation,CON-054,0,60.35,53.25,56.8,True,70,84,65,20,65.0,55.0,50.0,40.0,,,,,,,,,,,,
Qwen3-8B-Thinking,continuation,CON-062,0,53.4,85.4,69.4,False,62,68,60,18,85.0,88.0,82.0,90.0,,,,,,,,,,,,
Qwen3-8B-Thinking,story_generation,GEN-030,0,76.9,81.9,79.4,False,80,,,,85.0,,,,72,76,78,78.0,82.0,80.0,,,,,,
Qwen3-8B-Thinking,rewriting,REW-009,0,78.6,70.0,74.3,False,,,,82,,,,75.0,,,,,,,82,76,78,65.0,70.0,70.0
QwQ-32B,rewriting,REW-085,0,88.9,82.7,85.80000000000001,True,,,,88,,,,88.0,,,,,,,88,90,87,72.0,85.0,82.0
Qwen2.5-7B-Instruct,rewriting,REW-021,0,87.4,77.9,82.65,True,,,,90,,,,85.0,,,,,,,88,86,88,72.0,78.0,75.0
Qwen3-8B-NonThinking,continuation,CON-091,0,36.35,50.75,43.55,True,35,55,40,18,55.0,70.0,45.0,40.0,,,,,,,,,,,,
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-086,0,80.4,73.2,76.80000000000001,True,,,,84,,,,80.0,,,,,,,82,78,82,75.0,70.0,72.0
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-026,0,80.2,72.0,76.1,True,85,84,86,60,75.0,70.0,80.0,55.0,,,,,,,,,,,,
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-059,0,79.8,61.0,70.4,True,80,,,,65.0,,,,78,80,82,60.0,55.0,60.0,,,,,,
Qwen3-8B-NonThinking,continuation,CON-009,0,55.6,50.0,52.8,True,60,82,58,25,55.0,65.0,45.0,40.0,,,,,,,,,,,,
Baichuan2-7B-Chat,story_generation,GEN-023,0,55.45,40.7,48.075,True,55,,,,45.0,,,,55,55,58,40.0,35.0,38.0,,,,,,
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-047,0,89.1,74.7,81.9,True,90,,,,78.0,,,,88,88,90,72.0,75.0,70.0,,,,,,
glm-4-9b-chat,continuation,CON-099,0,71.05,65.75,68.4,True,72,78,65,75,65.0,75.0,60.0,70.0,,,,,,,,,,,,
Doubao,rewriting,REW-066,0,89.8,78.4,84.1,True,,,,92,,,,82.0,,,,,,,92,88,90,75.0,78.0,80.0
Qwen3-8B-NonThinking,story_generation,GEN-071,0,75.5,55.25,65.375,True,78,,,,55.0,,,,72,76,74,60.0,50.0,55.0,,,,,,
Baichuan2-7B-Chat,continuation,CON-033,0,47.5,32.5,40.0,True,55,75,45,20,35.0,50.0,30.0,20.0,,,,,,,,,,,,
glm-4-9b-chat,rewriting,REW-095,0,62.2,60.5,61.35,True,,,,78,,,,70.0,,,,,,,74,50,68,65.0,55.0,60.0
glm-4-9b-chat,rewriting,REW-004,0,76.6,63.0,69.8,True,,,,82,,,,70.0,,,,,,,84,70,84,75.0,55.0,65.0
Doubao,continuation,CON-067,0,90.3,89.05,89.675,True,92,88,90,90,88.0,85.0,90.0,92.0,,,,,,,,,,,,
Doubao,story_generation,GEN-096,0,91.15,89.55,90.35,True,92,,,,92.0,,,,91,89,92,88.0,90.0,85.0,,,,,,
Qwen3-8B-Thinking,rewriting,REW-010,0,84.4,73.5,78.95,False,,,,88,,,,80.0,,,,,,,90,80,88,65.0,75.0,70.0
Baichuan2-7B-Chat,story_generation,GEN-049,0,34.25,29.5,31.875,True,35,,,,35.0,,,,35,35,30,30.0,25.0,20.0,,,,,,
QwQ-32B,rewriting,REW-024,0,88.8,85.8,87.3,True,,,,88,,,,75.0,,,,,,,88,90,86,85.0,90.0,88.0
Qwen2.5-7B-Instruct,rewriting,REW-008,0,85.4,78.7,82.05000000000001,True,,,,86,,,,80.0,,,,,,,88,84,86,85.0,75.0,82.0
Qwen3-8B-NonThinking,continuation,CON-096,0,60.8,53.25,57.025,True,70,78,70,18,55.0,75.0,50.0,40.0,,,,,,,,,,,,
Qwen3-8B-Thinking,rewriting,REW-007,0,72.0,71.5,71.75,False,,,,78,,,,80.0,,,,,,,70,70,74,55.0,75.0,70.0
chatglm3-6b,story_generation,GEN-004,0,64.75,47.95,56.35,True,65,,,,52.0,,,,60,70,65,45.0,48.0,42.0,,,,,,
Doubao,continuation,CON-090,0,91.0,89.05,90.025,True,92,90,90,92,88.0,85.0,90.0,92.0,,,,,,,,,,,,
DeepSeek-R1-Distill-Qwen-32B,story_generation,GEN-071,0,86.3,81.9,84.1,True,88,,,,85.0,,,,84,86,86,78.0,82.0,80.0,,,,,,
Baichuan2-7B-Chat,continuation,CON-061,0,42.75,40.75,41.75,True,45,75,40,20,45.0,55.0,40.0,25.0,,,,,,,,,,,,
deepseek-llm-7b-chat,continuation,CON-015,0,53.8,40.0,46.9,True,62,80,52,25,45.0,50.0,40.0,25.0,,,,,,,,,,,,
Doubao,story_generation,GEN-064,0,90.4,84.7,87.55000000000001,True,92,,,,88.0,,,,90,88,90,82.0,85.0,80.0,,,,,,
Baichuan2-7B-Chat,rewriting,REW-071,0,38.5,33.0,35.75,True,,,,60,,,,40.0,,,,,,,45,25,50,45.0,25.0,35.0
deepseek-llm-7b-chat,story_generation,GEN-030,0,61.55,39.5,50.525,True,66,,,,45.0,,,,58,62,55,40.0,35.0,30.0,,,,,,
internlm2_5-7b-chat,story_generation,GEN-079,0,77.5,59.3,68.4,True,82,,,,62.0,,,,72,75,78,58.0,55.0,60.0,,,,,,
Doubao,rewriting,REW-092,0,76.6,61.3,68.94999999999999,True,,,,90,,,,78.0,,,,,,,94,62,88,85.0,45.0,62.0
Mistral-7B-Instruct-v0.3,continuation,CON-079,0,54.6,45.75,50.175,True,65,72,58,20,55.0,50.0,45.0,30.0,,,,,,,,,,,,
glm-4-9b-chat,continuation,CON-083,0,61.5,76.0,68.75,True,68,70,60,48,75.0,80.0,70.0,85.0,,,,,,,,,,,,
Qwen3-8B-Thinking,continuation,CON-085,0,61.75,70.0,65.875,False,75,80,75,5,75.0,80.0,70.0,55.0,,,,,,,,,,,,
internlm2_5-7b-chat,rewriting,REW-099,0,61.5,49.5,55.5,True,,,,75,,,,60.0,,,,,,,75,50,65,55.0,45.0,40.0
deepseek-llm-7b-chat,story_generation,GEN-013,0,74.8,52.25,63.525,True,80,,,,55.0,,,,68,72,76,50.0,55.0,45.0,,,,,,
Qwen2.5-7B-Instruct,continuation,CON-088,0,51.0,60.5,55.75,True,55,55,55,35,55.0,70.0,50.0,80.0,,,,,,,,,,,,
Baichuan2-7B-Chat,continuation,CON-004,0,61.25,47.25,54.25,True,75,80,65,20,55.0,60.0,45.0,30.0,,,,,,,,,,,,
glm-4-9b-chat,rewriting,REW-048,0,57.7,57.5,57.6,True,,,,74,,,,70.0,,,,,,,86,35,82,75.0,45.0,60.0
glm-4-9b-chat,rewriting,REW-049,0,76.3,52.5,64.4,True,,,,80,,,,70.0,,,,,,,76,75,76,55.0,45.0,50.0
glm-4-9b-chat,continuation,CON-074,0,64.15,59.25,61.7,True,62,82,55,70,55.0,75.0,50.0,70.0,,,,,,,,,,,,
chatglm3-6b,rewriting,REW-052,0,49.0,47.5,48.25,True,,,,50,,,,50.0,,,,,,,55,45,55,55.0,45.0,40.0
deepseek-llm-7b-chat,story_generation,GEN-064,0,72.5,48.1,60.3,True,75,,,,52.0,,,,78,70,60,48.0,45.0,42.0,,,,,,
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-007,0,65.2,59.5,62.35,True,55,76,62,78,55.0,75.0,45.0,80.0,,,,,,,,,,,,
chatglm3-6b,continuation,CON-010,0,15.5,20.25,17.875,True,10,30,20,5,15.0,45.0,20.0,10.0,,,,,,,,,,,,
QwQ-32B,continuation,CON-040,0,78.3,86.45,82.375,True,78,80,70,92,88.0,82.0,85.0,90.0,,,,,,,,,,,,
Baichuan2-7B-Chat,rewriting,REW-008,0,65.2,52.0,58.6,True,,,,82,,,,70.0,,,,,,,80,50,78,75.0,35.0,55.0
Qwen3-8B-Thinking,continuation,CON-010,0,31.5,38.75,35.125,False,35,55,25,20,45.0,35.0,40.0,30.0,,,,,,,,,,,,
Mistral-7B-Instruct-v0.3,story_generation,GEN-098,0,60.95,43.75,52.35,True,64,,,,45.0,,,,62,58,55,50.0,40.0,35.0,,,,,,
QwQ-32B,continuation,CON-052,0,84.25,87.95,86.1,True,85,85,80,90,88.0,92.0,85.0,90.0,,,,,,,,,,,,
Mistral-7B-Instruct-v0.3,continuation,CON-096,0,36.25,50.75,43.5,True,40,50,45,5,55.0,70.0,45.0,40.0,,,,,,,,,,,,
Qwen2.5-7B-Instruct,rewriting,REW-061,0,75.2,78.4,76.80000000000001,True,,,,80,,,,85.0,,,,,,,82,70,78,72.0,78.0,80.0
Mistral-7B-Instruct-v0.3,rewriting,REW-031,0,43.5,31.5,37.5,True,,,,45,,,,45.0,,,,,,,35,45,50,35.0,25.0,30.0
QwQ-32B,continuation,CON-058,0,75.95,85.4,80.67500000000001,True,78,65,72,88,88.0,75.0,85.0,90.0,,,,,,,,,,,,
Mistral-7B-Instruct-v0.3,rewriting,REW-060,0,57.5,47.5,52.5,True,,,,65,,,,50.0,,,,,,,65,50,65,55.0,45.0,40.0
Qwen2.5-7B-Instruct,continuation,CON-061,0,59.7,55.75,57.725,True,55,70,50,76,55.0,65.0,50.0,60.0,,,,,,,,,,,,
DeepSeek-R1-Distill-Qwen-32B,rewriting,REW-096,0,75.6,59.5,67.55,True,,,,82,,,,60.0,,,,,,,86,68,80,75.0,55.0,50.0
deepseek-llm-7b-chat,rewriting,REW-087,0,65.4,42.5,53.95,True,,,,78,,,,50.0,,,,,,,84,50,80,55.0,35.0,40.0
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-021,0,71.9,66.75,69.325,True,82,84,82,30,75.0,70.0,65.0,55.0,,,,,,,,,,,,
Doubao,continuation,CON-034,0,89.0,89.05,89.025,True,90,88,88,90,88.0,85.0,90.0,92.0,,,,,,,,,,,,
Qwen2.5-7B-Instruct,continuation,CON-013,0,64.25,57.75,61.0,True,70,70,65,50,55.0,70.0,45.0,75.0,,,,,,,,,,,,
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-028,0,73.6,75.35,74.475,True,78,80,72,65,78.0,65.0,72.0,85.0,,,,,,,,,,,,
Mistral-7B-Instruct-v0.3,rewriting,REW-081,0,31.5,40.5,36.0,True,,,,35,,,,50.0,,,,,,,20,35,30,45.0,35.0,40.0
deepseek-llm-7b-chat,rewriting,REW-089,0,41.0,37.5,39.25,True,,,,45,,,,40.0,,,,,,,50,35,45,45.0,35.0,30.0
Qwen3-8B-NonThinking,rewriting,REW-062,0,64.7,58.0,61.35,True,,,,82,,,,70.0,,,,,,,88,45,82,75.0,45.0,65.0
Qwen3-8B-Thinking,continuation,CON-076,0,67.9,86.6,77.25,False,80,84,78,20,85.0,82.0,88.0,90.0,,,,,,,,,,,,
QwQ-32B,story_generation,GEN-071,0,46.75,76.5,61.625,True,40,,,,82.0,,,,35,65,60,68.0,75.0,78.0,,,,,,
Doubao,story_generation,GEN-063,0,88.4,85.15,86.775,True,90,,,,88.0,,,,88,86,88,82.0,85.0,83.0,,,,,,
glm-4-9b-chat,rewriting,REW-029,0,72.6,70.4,71.5,True,,,,78,,,,75.0,,,,,,,76,68,78,72.0,68.0,70.0
Qwen3-8B-NonThinking,story_generation,GEN-088,0,70.3,71.75,71.025,True,75,,,,72.0,,,,68,70,62,75.0,70.0,68.0,,,,,,
Qwen3-8B-NonThinking,continuation,CON-070,0,51.5,47.25,49.375,True,58,82,48,25,45.0,70.0,35.0,55.0,,,,,,,,,,,,
Mistral-7B-Instruct-v0.3,story_generation,GEN-089,0,79.95,49.25,64.6,True,86,,,,55.0,,,,79,72,76,45.0,50.0,40.0,,,,,,
QwQ-32B,story_generation,GEN-012,0,88.4,86.25,87.325,True,90,,,,88.0,,,,88,86,88,85.0,86.0,84.0,,,,,,
chatglm3-6b,continuation,CON-085,0,22.5,27.75,25.125,True,25,35,25,5,35.0,30.0,25.0,20.0,,,,,,,,,,,,
Doubao,rewriting,REW-088,0,88.4,76.1,82.25,True,,,,88,,,,85.0,,,,,,,90,88,88,78.0,72.0,75.0
internlm2_5-7b-chat,continuation,CON-093,0,39.25,57.25,48.25,True,50,50,45,5,65.0,70.0,55.0,40.0,,,,,,,,,,,,
Qwen3-8B-NonThinking,continuation,CON-012,0,41.75,58.75,50.25,True,45,65,50,5,55.0,75.0,60.0,50.0,,,,,,,,,,,,
QwQ-32B,rewriting,REW-005,0,87.4,80.8,84.1,True,,,,88,,,,85.0,,,,,,,90,86,88,75.0,82.0,78.0
DeepSeek-R1-Distill-Qwen-32B,continuation,CON-020,0,85.7,79.25,82.475,True,86,86,84,88,72.0,85.0,78.0,88.0,,,,,,,,,,,,
QwQ-32B,continuation,CON-049,0,90.1,89.05,89.57499999999999,True,90,88,90,92,88.0,85.0,90.0,92.0,,,,,,,,,,,,
glm-4-9b-chat,rewriting,REW-058,0,79.8,72.0,75.9,True,,,,84,,,,75.0,,,,,,,84,76,82,75.0,70.0,70.0
glm-4-9b-chat,story_generation,GEN-070,0,78.1,64.4,71.25,True,82,,,,65.0,,,,78,75,72,68.0,62.0,60.0,,,,,,
chatglm3-6b,continuation,CON-091,0,27.5,30.0,28.75,True,25,55,25,15,35.0,45.0,25.0,20.0,,,,,,,,,,,,
Qwen3-8B-Thinking,story_generation,GEN-093,0,45.05,69.25,57.15,False,40,,,,72.0,,,,35,55,62,65.0,70.0,68.0,,,,,,
deepseek-llm-7b-chat,rewriting,REW-008,0,61.6,61.0,61.3,True,,,,78,,,,60.0,,,,,,,80,45,75,75.0,55.0,65.0
deepseek-llm-7b-chat,continuation,CON-008,0,67.9,51.75,59.825,True,82,80,78,20,55.0,65.0,50.0,40.0,,,,,,,,,,,,
Doubao,rewriting,REW-096,0,79.0,55.5,67.25,True,,,,80,,,,75.0,,,,,,,80,78,80,85.0,35.0,60.0
Qwen3-8B-Thinking,rewriting,REW-032,0,72.9,55.5,64.2,False,,,,80,,,,75.0,,,,,,,82,65,80,85.0,35.0,60.0
Baichuan2-7B-Chat,rewriting,REW-066,0,69.1,63.0,66.05,True,,,,82,,,,70.0,,,,,,,85,55,82,75.0,55.0,65.0
